case 0x3798e4ed: // "pro"
	break;
0: 0(0) [0] 18 "(null)"
464 "BrokerInfrastructure" ("Background Tasks Infrastructure Service") "NT AUTHORITY\SYSTEM"
1028 "bthserv" ("Bluetooth Support Service") "NT AUTHORITY\LOCAL SERVICE"
1880 "camsvc" ("Capability Access Manager Service") "NT AUTHORITY\SYSTEM"
1074 "CDPSvc" ("Connected Devices Platform Service") "NT AUTHORITY\LOCAL SERVICE"
9a8 "CertPropSvc" ("Certificate Propagation") "NT AUTHORITY\SYSTEM"
66c "CoreMessagingRegistrar" ("CoreMessaging") "NT AUTHORITY\LOCAL SERVICE"
1f18 "CryptSvc" ("Cryptographic Services") "NT AUTHORITY\NETWORK SERVICE"
464 "DcomLaunch" ("DCOM Server Process Launcher") "NT AUTHORITY\SYSTEM"
dd4 "DeviceAssociationService" ("Device Association Service") "NT AUTHORITY\SYSTEM"
ac0 "Dhcp" ("DHCP Client") "NT AUTHORITY\LOCAL SERVICE"
bf8 "DispBrokerDesktopSvc" ("Display Policy Service") "NT AUTHORITY\LOCAL SERVICE"
3af0 "DisplayEnhancementService" ("Display Enhancement Service") "NT AUTHORITY\SYSTEM"
964 "Dnscache" ("DNS Client") "NT AUTHORITY\NETWORK SERVICE"
1158 "DPS" ("Diagnostic Policy Service") "NT AUTHORITY\LOCAL SERVICE"
28dc "DsSvc" ("Data Sharing Service") "NT AUTHORITY\SYSTEM"
cc8 "DusmSvc" ("Data Usage") "NT AUTHORITY\LOCAL SERVICE"
8e0 "EventLog" ("Windows Event Log") "NT AUTHORITY\LOCAL SERVICE"
954 "EventSystem" ("COM+ Event System") "NT AUTHORITY\LOCAL SERVICE"
2670 "fdPHost" ("Function Discovery Provider Host") "NT AUTHORITY\LOCAL SERVICE"
a40 "FontCache" ("Windows Font Cache Service") "NT AUTHORITY\LOCAL SERVICE"
2194 "gpsvc" ("Group Policy Client") "NT AUTHORITY\SYSTEM"
7a8 "hidserv" ("Human Interface Device Service") "NT AUTHORITY\SYSTEM"
604 "HvHost" ("HV Host Service") "NT AUTHORITY\SYSTEM"
1be8 "InstallService" ("Microsoft Store Install Service") "NT AUTHORITY\SYSTEM"
300 "InventorySvc" ("Inventory and Compatibility Appraisal service") "NT AUTHORITY\SYSTEM"
30c "KeyIso" ("CNG Key Isolation") "NT AUTHORITY\SYSTEM"
f18 "LanmanServer" ("Server") "NT AUTHORITY\SYSTEM"
ca8 "LanmanWorkstation" ("Workstation") "NT AUTHORITY\NETWORK SERVICE"
16a8 "lmhosts" ("TCP/IP NetBIOS Helper") "NT AUTHORITY\LOCAL SERVICE"
518 "LSM" ("Local Session Manager") "NT AUTHORITY\SYSTEM"
6e4 "NcbService" ("Network Connection Broker") "NT AUTHORITY\SYSTEM"
7e8 "netprofm" ("Network List Service") "NT AUTHORITY\NETWORK SERVICE"
1604 "NgcCtnrSvc" ("Microsoft Passport Container") "NT AUTHORITY\LOCAL SERVICE"
1564 "NgcSvc" ("Microsoft Passport") "NT AUTHORITY\SYSTEM"
780 "nsi" ("Network Store Interface Service") "NT AUTHORITY\LOCAL SERVICE"
12dc "PcaSvc" ("Program Compatibility Assistant Service") "NT AUTHORITY\SYSTEM"
464 "PlugPlay" ("Plug and Play") "NT AUTHORITY\SYSTEM"
464 "Power" ("Power") "NT AUTHORITY\SYSTEM"
7f8 "ProfSvc" ("User Profile Service") "NT AUTHORITY\SYSTEM"
fe8 "RasMan" ("Remote Access Connection Manager") "NT AUTHORITY\SYSTEM"
1488 "RmSvc" ("Radio Management Service") "NT AUTHORITY\LOCAL SERVICE"
4e4 "RpcEptMapper" ("RPC Endpoint Mapper") "NT AUTHORITY\NETWORK SERVICE"
4e4 "RpcSs" ("Remote Procedure Call (RPC)") "NT AUTHORITY\NETWORK SERVICE"
30c "SamSs" ("Security Accounts Manager") "NT AUTHORITY\SYSTEM"
788 "Schedule" ("Task Scheduler") "NT AUTHORITY\SYSTEM"
9f8 "SENS" ("System Event Notification Service") "NT AUTHORITY\SYSTEM"
d60 "SessionEnv" ("Remote Desktop Configuration") "NT AUTHORITY\SYSTEM"
d3c "ShellHWDetection" ("Shell Hardware Detection") "NT AUTHORITY\SYSTEM"
e20 "SstpSvc" ("Secure Socket Tunneling Protocol Service") "NT AUTHORITY\LOCAL SERVICE"
de4 "StateRepository" ("State Repository Service") "NT AUTHORITY\SYSTEM"
11d4 "StiSvc" ("Windows Image Acquisition (WIA)") "NT AUTHORITY\LOCAL SERVICE"
328 "StorSvc" ("Storage Service") "NT AUTHORITY\SYSTEM"
944 "SysMain" ("SysMain") "NT AUTHORITY\SYSTEM"
464 "SystemEventsBroker" ("System Events Broker") "NT AUTHORITY\SYSTEM"
60c "TermService" ("Remote Desktop Services") "NT AUTHORITY\NETWORK SERVICE"
c4c "TextInputManagementService" ("Text Input Management Service") "NT AUTHORITY\SYSTEM"
948 "Themes" ("Themes") "NT AUTHORITY\SYSTEM"
6f4 "TimeBrokerSvc" ("Time Broker") "NT AUTHORITY\LOCAL SERVICE"
136c "TokenBroker" ("Web Account Manager") "NT AUTHORITY\SYSTEM"
af4 "UmRdpService" ("Remote Desktop Services UserMode Port Redirector") "NT AUTHORITY\SYSTEM"
818 "UserManager" ("User Manager") "NT AUTHORITY\SYSTEM"
30c "VaultSvc" ("Credential Manager") "NT AUTHORITY\SYSTEM"
378c "VSStandardCollectorService150" ("Visual Studio Standard Collector Service 150") "NT AUTHORITY\SYSTEM"
d68 "W32Time" ("Windows Time") "NT AUTHORITY\LOCAL SERVICE"
e10 "WAS" ("Windows Process Activation Service") "NT AUTHORITY\SYSTEM"
ce8 "Wcmsvc" ("Windows Connection Manager") "NT AUTHORITY\LOCAL SERVICE"
c48 "wcncsvc" ("Windows Connect Now - Config Registrar") "NT AUTHORITY\LOCAL SERVICE"
3d60 "WdiServiceHost" ("Diagnostic Service Host") "NT AUTHORITY\LOCAL SERVICE"
27a4 "WdiSystemHost" ("Diagnostic System Host") "NT AUTHORITY\SYSTEM"
bec "WinHttpAutoProxySvc" ("WinHTTP Web Proxy Auto-Discovery Service") "NT AUTHORITY\LOCAL SERVICE"
e28 "Winmgmt" ("Windows Management Instrumentation") "NT AUTHORITY\SYSTEM"
3208 "wlidsvc" ("Microsoft Account Sign-in Assistant") "NT AUTHORITY\SYSTEM"
e30 "WpnService" ("Windows Push Notifications System Service") "NT AUTHORITY\SYSTEM"
15dc "cbdhsvc_3c4e1" ("Clipboard User Service_3c4e1") "DESKTOP-2N5ODLB\Harry"
1274 "CDPUserSvc_3c4e1" ("Connected Devices Platform User Service_3c4e1") "DESKTOP-2N5ODLB\Harry"
af0 "DevicesFlowUserSvc_3c4e1" ("DevicesFlow_3c4e1") "DESKTOP-2N5ODLB\Harry"
1acc "NPSMSvc_3c4e1" ("Now Playing Session Manager Service_3c4e1") "DESKTOP-2N5ODLB\Harry"
17fc "UdkUserSvc_3c4e1" ("Udk User Service_3c4e1") "DESKTOP-2N5ODLB\Harry"
1290 "WpnUserService_3c4e1" ("Windows Push Notifications User Service_3c4e1") "DESKTOP-2N5ODLB\Harry"
List_Services=0
case 0x3a1032b4: // "usr"
	break;
1 {00000000-0002198c} 8120 Interactive NTLM "DESKTOP-2N5ODLB" "DESKTOP-2N5ODLB\Harry" S-1-5-21-3032776714-2974785564-2375659916-1001
1 {00000000-00021a41} 8120 Interactive NTLM "DESKTOP-2N5ODLB" "DESKTOP-2N5ODLB\Harry" S-1-5-21-3032776714-2974785564-2375659916-1001
case 0x00691a3b: // "id"
	break;
	1890
PID=6288 NumberOfThreads=3
2a70: 000000619DEB4000 00007FF6E19D19B0 WrUserRequest
edc: 000000619DEC8000 00007FF8A3C11A40 WrQueue
1f40: 000000619DECA000 00007FF8A3C11A40 WrQueue
DumpProcessThreads(6288)=0
DumpModules(w=0, n=2e, s=3538)
00007FF6E19D0000 0005a000 "C:\WINDOWS\system32\NOTEPAD.EXE"
00007FF8A3BC0000 00263000 "C:\WINDOWS\SYSTEM32\ntdll.dll"
00007FF8A29B0000 000c7000 "C:\WINDOWS\System32\KERNEL32.DLL"
00007FF8A1120000 003a1000 "C:\WINDOWS\System32\KERNELBASE.dll"
00007FF8A1A40000 0002a000 "C:\WINDOWS\System32\GDI32.dll"
00007FF8A18E0000 00027000 "C:\WINDOWS\System32\win32u.dll"
00007FF8A17B0000 00121000 "C:\WINDOWS\System32\gdi32full.dll"
00007FF8A1910000 000a3000 "C:\WINDOWS\System32\msvcp_win.dll"
00007FF8A0FD0000 0014b000 "C:\WINDOWS\System32\ucrtbase.dll"
00007FF8A1F70000 001c3000 "C:\WINDOWS\System32\USER32.dll"
00007FF8A1BF0000 0037c000 "C:\WINDOWS\System32\combase.dll"
00007FF8A3A60000 00116000 "C:\WINDOWS\System32\RPCRT4.dll"
00007FF8A35A0000 000d3000 "C:\WINDOWS\System32\shcore.dll"
00007FF8A1A70000 000b2000 "C:\WINDOWS\System32\advapi32.dll"
00007FF8A27C0000 000a9000 "C:\WINDOWS\System32\msvcrt.dll"
00007FF8A1B40000 000a7000 "C:\WINDOWS\System32\sechost.dll"
00007FF888FF0000 00290000 "C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.1591_none_3e0fac18e32dc903\COMCTL32.dll"
00007FF8A37E0000 0002f000 "C:\WINDOWS\System32\IMM32.DLL"
00007FF8A1650000 00099000 "C:\WINDOWS\System32\bcryptPrimitives.dll"
00007FF89FDF0000 0001a000 "C:\WINDOWS\SYSTEM32\kernel.appcore.dll"
00007FF89E420000 000ad000 "C:\WINDOWS\system32\uxtheme.dll"
00007FF8A2C30000 006f6000 "C:\WINDOWS\System32\SHELL32.dll"
00007FF89ED60000 0082a000 "C:\WINDOWS\SYSTEM32\windows.storage.dll"
00007FF8A2950000 0005d000 "C:\WINDOWS\System32\shlwapi.dll"
00007FF8A3680000 00159000 "C:\WINDOWS\System32\MSCTF.dll"
00007FF888620000 000ac000 "C:\WINDOWS\system32\TextShaping.dll"
00007FF8A33B0000 000a8000 "C:\WINDOWS\System32\clbcatq.dll"
00007FF87CAA0000 000bf000 "C:\Windows\System32\efswrt.dll"
00007FF894AB0000 0022f000 "C:\Windows\System32\twinapi.appcore.dll"
00007FF89B4A0000 00168000 "C:\Windows\System32\WinTypes.dll"
00007FF887640000 0007c000 "C:\Windows\System32\oleacc.dll"
00007FF8A2140000 000d6000 "C:\WINDOWS\System32\OLEAUT32.DLL"
00007FF890B70000 00144000 "C:\WINDOWS\SYSTEM32\textinputframework.dll"
00007FF89DD30000 00125000 "C:\WINDOWS\SYSTEM32\CoreMessaging.dll"
00007FF89B630000 002e3000 "C:\WINDOWS\SYSTEM32\CoreUIComponents.dll"
00007FF8A0500000 0000c000 "C:\WINDOWS\system32\CRYPTBASE.DLL"
00007FF888C20000 001d8000 "C:\WINDOWS\system32\urlmon.dll"
00007FF88E750000 002c2000 "C:\WINDOWS\system32\iertutil.dll"
00007FF88EFE0000 00029000 "C:\WINDOWS\system32\srvcli.dll"
00007FF89F800000 0000d000 "C:\WINDOWS\system32\netutils.dll"
00007FF89C630000 000b2000 "C:\WINDOWS\SYSTEM32\policymanager.dll"
00007FF89C590000 00091000 "C:\WINDOWS\system32\msvcp110_win.dll"
00007FF8A2A90000 00199000 "C:\WINDOWS\System32\ole32.dll"
00007FF8A0BF0000 00059000 "C:\WINDOWS\system32\CFGMGR32.dll"
00007FF89C2D0000 000f3000 "C:\WINDOWS\system32\propsys.dll"
00007FF8A0EF0000 00029000 "C:\WINDOWS\system32\profapi.dll"
ProQuery(6288)=0
